fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,1,1,he,0.760,0.880,PRP,2.5017,5.9294,0,6.69,2
audio01.TextGrid,1,2,was,0.880,1.040,VBD,3.0516,2.1088,0,6.82,3
audio01.TextGrid,1,3,an,1.040,1.120,DT,4.6072,3.1613,0,6.53,2
audio01.TextGrid,1,4,old,1.120,1.410,JJ,7.9253,2.3076,0,5.75,3
audio01.TextGrid,1,5,man,1.410,1.790,NN,10.0996,0.8757,0,5.82,3
audio01.TextGrid,1,6,who,1.870,2.080,WP,0.5292,8.0564,0,6.34,2
audio01.TextGrid,1,7,fished,2.080,2.410,VBD,7.2520,6.6002,1,3.08,4
audio01.TextGrid,1,8,alone,2.410,2.770,RB,8.8775,5.5281,0,5.16,4
audio01.TextGrid,1,9,in,2.770,2.880,IN,2.4946,2.9588,0,7.27,2
audio01.TextGrid,1,10,a,2.880,2.950,DT,2.0447,1.9329,0,7.36,1
audio01.TextGrid,1,11,skiff,2.950,3.410,NN,4.8869,1.2945,1,2.63,4
audio01.TextGrid,1,12,in,3.410,3.490,IN,2.4946,1.9542,0,7.27,2
audio01.TextGrid,1,13,the,3.490,3.590,DT,0.7806,1.7802,0,7.73,2
audio01.TextGrid,1,14,gulf,3.590,3.900,NN,4.8869,1.2945,1,4.28,4
audio01.TextGrid,1,15,stream,3.900,4.370,NN,13.6845,3.0508,0,4.62,5
audio01.TextGrid,1,16,and,4.500,4.650,CC,0.5482,4.5955,0,7.41,3
audio01.TextGrid,1,17,he,4.650,4.710,PRP,2.5017,5.7592,0,6.69,2
audio01.TextGrid,1,18,had,4.710,4.820,VBD,4.2494,2.8243,0,6.33,3
audio01.TextGrid,1,19,gone,4.820,5.080,VBN,9.4744,3.8528,0,5.17,3
audio01.TextGrid,1,20,eighty,5.080,5.370,RB,3.1182,5.4538,1,3.75,3
audio01.TextGrid,1,21,four,5.370,5.590,CD,7.3997,4.9219,0,5.53,3
audio01.TextGrid,1,22,days,5.590,6.010,NNS,6.8896,2.7889,0,5.61,3
audio01.TextGrid,1,23,now,6.010,6.250,RB,5.3332,5.2140,0,6.18,2
audio01.TextGrid,1,24,without,6.250,6.550,IN,8.1376,3.4706,0,5.69,5
audio01.TextGrid,1,25,taking,6.550,6.950,VBG,6.9268,7.4951,0,5.39,5
audio01.TextGrid,1,26,a,6.950,7.000,DT,2.0447,3.8672,0,7.36,1
audio01.TextGrid,1,27,fish,7.000,7.420,NN,4.8869,1.2790,1,4.9,3
audio01.TextGrid,2,1,in,7.420,7.480,IN,2.4946,3.4080,0,7.27,2
audio01.TextGrid,2,2,the,8.580,8.770,DT,0.7806,1.7298,0,7.73,2
audio01.TextGrid,2,3,first,8.770,9.090,JJ,6.4017,2.3502,0,6.11,4
audio01.TextGrid,2,4,forty,9.090,9.390,NN,4.8869,0.8757,1,4.2,5
audio01.TextGrid,2,5,days,9.390,9.770,NNS,6.8896,3.6139,0,5.61,3
audio01.TextGrid,2,6,a,9.770,9.820,DT,2.0447,5.9131,0,7.36,1
audio01.TextGrid,2,7,boy,9.820,10.140,NN,13.6845,1.0838,0,5.17,2
audio01.TextGrid,2,8,had,10.140,10.310,VBD,4.2494,4.1007,0,6.33,3
audio01.TextGrid,2,9,been,10.310,10.450,VBN,3.8305,3.2831,0,6.27,3
audio01.TextGrid,2,10,with,10.450,10.650,IN,4.6303,4.0984,0,6.85,3
audio01.TextGrid,2,11,him,10.650,10.900,PRP,6.7448,5.6653,0,6.11,3
audio01.TextGrid,2,12,but,11.200,11.340,CC,2.8832,6.2775,0,6.63,3
audio01.TextGrid,2,13,after,11.340,11.590,IN,6.8240,4.8451,0,6.11,4
audio01.TextGrid,2,14,forty,11.590,11.910,JJ,5.1180,3.9120,1,4.2,5
audio01.TextGrid,2,15,days,11.910,12.270,NNS,6.8896,1.6595,0,5.61,3
audio01.TextGrid,2,16,without,12.270,12.560,IN,8.1376,2.1158,0,5.69,5
audio01.TextGrid,2,17,a,12.560,12.600,DT,2.0447,1.7704,0,7.36,1
audio01.TextGrid,2,18,fish,12.600,13.030,NN,4.8869,1.2945,1,4.9,3
audio01.TextGrid,2,19,the,13.030,13.140,DT,0.7806,6.3017,0,7.73,2
audio01.TextGrid,2,20,boy,13.140,13.360,NN,13.6845,1.3035,0,5.17,2
audio01.TextGrid,2,21,s,13.360,13.430,NN,4.8869,3.0508,1,5.86,1
audio01.TextGrid,2,22,parents,13.430,13.860,NNS,10.2401,3.9975,0,5.21,7
audio01.TextGrid,2,23,had,13.860,14.030,VBD,4.2494,3.7213,0,6.33,3
audio01.TextGrid,2,24,told,14.030,14.280,VBD,7.9863,7.8916,0,5.54,4
audio01.TextGrid,2,25,him,14.280,14.460,PRP,6.7448,6.3661,0,6.11,2
audio01.TextGrid,2,26,that,14.460,14.590,IN,4.2613,3.3393,0,7.01,3
audio01.TextGrid,2,27,the,14.590,14.720,DT,0.7806,2.3631,0,7.73,2
audio01.TextGrid,2,28,old,14.720,14.930,JJ,7.9253,2.3502,0,5.75,3
audio01.TextGrid,2,29,man,14.930,15.160,NN,10.0996,0.8757,0,5.82,3
audio01.TextGrid,2,30,was,15.160,15.330,VBD,3.0516,4.7249,0,6.82,3
audio01.TextGrid,2,31,now,15.330,15.510,RB,5.3332,3.7274,0,6.18,2
audio01.TextGrid,2,32,definitely,15.510,16.240,RB,11.4625,3.7238,0,4.96,9
audio01.TextGrid,2,33,and,16.240,16.390,CC,0.5482,6.7612,0,7.41,3
audio01.TextGrid,2,34,finally,16.390,16.900,RB,9.4625,3.1277,0,5.17,6
audio01.TextGrid,2,35,salao,16.900,17.510,VB,2.8428,4.0958,1,0.0,5
audio01.TextGrid,2,36,which,17.890,18.080,WDT,0.9903,7.8327,0,6.3,3
audio01.TextGrid,2,37,is,18.080,18.200,VBZ,1.6609,5.9787,0,7.07,2
audio01.TextGrid,2,38,the,18.200,18.290,DT,0.7806,4.0363,0,7.73,2
audio01.TextGrid,2,39,worst,18.290,18.660,JJS,5.5078,6.6361,0,4.93,4
audio01.TextGrid,2,40,form,18.660,18.970,NN,9.5971,2.0812,0,5.31,4
audio01.TextGrid,2,41,of,18.970,19.080,IN,2.0839,2.6892,0,7.4,2
audio01.TextGrid,2,42,unlucky,19.080,19.670,JJ,5.1180,3.3537,1,3.63,6
audio01.TextGrid,3,1,and,20.430,20.510,CC,0.5482,5.5291,0,7.41,2
audio01.TextGrid,3,2,the,20.510,20.590,DT,0.7806,2.6730,0,7.73,2
audio01.TextGrid,3,3,boy,20.590,20.890,NN,13.6845,1.4493,0,5.17,2
audio01.TextGrid,3,4,had,20.890,21.050,VBD,4.2494,4.1007,0,6.33,3
audio01.TextGrid,3,5,gone,21.050,21.310,VBN,9.4744,3.2831,0,5.17,3
audio01.TextGrid,3,6,at,21.310,21.380,IN,4.5187,4.0984,0,6.7,2
audio01.TextGrid,3,7,their,21.380,21.570,PRP$,2.0576,5.0334,0,6.33,3
